Confidence,SKU,Item Name,Category,Current Measure Type,Current Base UOM,Recommended Measure Type,Recommended Base UOM,Pack Analysis,Industry Standard,Reasoning
"DEFINITE","DYGENBUTTER01","Butter Beans 6/20 OZ","dairy","Each","lb","Weight","lb","Pack: 6x 20oz = 120oz total. Weight-based.","Industry standard: Solid dairy tracked by weight","✅ Strong agreement: Industry standard: Solid dairy tracked by weight | ✅ Pack analysis confirms: Pack: 6x 20oz = 120oz total. Weight-based."
"DEFINITE","IT05802","Whole Milk 0.5gal","dairy","Each","gal","Volume","gal","Pack: 6x 0.5gal. Volume accumulates to 384. Volume-based.","Industry standard: Liquid dairy tracked by volume","✅ Strong agreement: Industry standard: Liquid dairy tracked by volume | ✅ Pack analysis confirms: Pack: 6x 0.5gal. Volume accumulates to 384. Volume-based."
"DEFINITE","ITGENSUGAR102","Sugar 10X Confectioners 24/1 LB","pantry","Each","lb","Weight","lb","Pack: 24x 1lb = 24lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 24x 1lb = 24lb total. Weight-based."
"DEFINITE","ITGENLIGHTB02","Light Brown Sugar 24/1 LB BOX","pantry","Each","lb","Weight","lb","Pack: 24x 1lb = 24lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 24x 1lb = 24lb total. Weight-based."
"DEFINITE","ITGENFLOURC","Flour Caputo Semolina 10/1 KG","pantry","Each","lb","Weight","lb","Pack: 10x 1kg = 10kg total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 10x 1kg = 10kg total. Weight-based."
"DEFINITE","ITGENCAPUTO01","Caputo 00 Pizza Flour Blue 1/25 KG","pantry","Each","lb","Weight","lb","Pack: 1x 25kg = 25kg total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 1x 25kg = 25kg total. Weight-based."
"DEFINITE","ITGENSUGARR","Sugar IN THE RAW 12/2 LB BOX","pantry","Each","lb","Weight","lb","Pack: 12x 2lb = 24lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 12x 2lb = 24lb total. Weight-based."
"DEFINITE","ITGENSPCKOS01","SPC Kosher Salt 12/3 LB","pantry","Each","ea","Weight","lb","Pack: 12x 3lb = 36lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 12x 3lb = 36lb total. Weight-based."
"DEFINITE","ITGENKASIRG","Kasir Galahad AP Flour 50 LB BAG","pantry","Each","lb","Weight","lb","Pack: 1x 50lb = 50lb total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 1x 50lb = 50lb total. Weight-based."
"DEFINITE","IT03615","Heavy Cream 0.5gal","dairy","Each","gal","Volume","gal","Pack: 9x 0.5gal. Volume accumulates to 576. Volume-based.","Industry standard: Liquid dairy tracked by volume","✅ Strong agreement: Industry standard: Liquid dairy tracked by volume | ✅ Pack analysis confirms: Pack: 9x 0.5gal. Volume accumulates to 576. Volume-based."
"DEFINITE","IT22209","Soy Milk 1quart","dairy","Each","oz","Volume","gal","Pack: 6x 1qt. Volume accumulates to 192. Volume-based.","Industry standard: Liquid dairy tracked by volume","✅ Strong agreement: Industry standard: Liquid dairy tracked by volume | ✅ Pack analysis confirms: Pack: 6x 1qt. Volume accumulates to 192. Volume-based."
"DEFINITE","STS24","Truffle Salt 14oz","grocery","Each","oz","Weight","lb","Pack: 1x 14oz = 14oz total. Weight-based.","Industry standard: Bulk dry goods tracked by weight","✅ Strong agreement: Industry standard: Bulk dry goods tracked by weight | ✅ Pack analysis confirms: Pack: 1x 14oz = 14oz total. Weight-based."
"DEFINITE","IT02635","Vanilla Icecream 1gal","dairy","Each","oz","Volume","gal","Pack: 3x 1gal. Volume accumulates to 384. Volume-based.","Industry standard: Liquid dairy tracked by volume","✅ Strong agreement: Industry standard: Liquid dairy tracked by volume | ✅ Pack analysis confirms: Pack: 3x 1gal. Volume accumulates to 384. Volume-based."
"HIGH","FDCHECHIVES","Chives Fresh 1# LB","food","Each","ea","Weight","lb","Pack: 1x 1lb = 1lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 1lb = 1lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","TOS01","Seaweed Dried Tosaka 2.2#/ea 1lb","grocery","Each","ea","Weight","lb","Single unit of 2.2lb. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Single unit of 2.2lb. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","VN090331","Tangerine EVOO 200ml","grocery","Each","ea","Volume","oz","Pack: 6x 200ml. Volume accumulates to 40.5768. Volume-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 6x 200ml. Volume accumulates to 40.5768. Volume-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","FDSPEHAPGRA","Hap 3L Grapefruit Fresh Jul 3LT","food","Each","ea","Volume","oz","Pack: 1x 3l. Volume accumulates to 3. Volume-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 3l. Volume accumulates to 3. Volume-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","PRGENONIONG","Onion Green Clean/trim","produce","Each","lb","Each","ea","Pack contains 48 units. Count-based.","Industry standard: Root vegetables typically tracked by weight","✅ Pack analysis: Pack contains 48 units. Count-based. | ⚠️  Industry standard: Industry standard: Root vegetables typically tracked by weight"
"HIGH","IT23614","Chocolate Chip Cookie Dough, Frozen 3oz","grocery","Each","ea","Weight","lb","Pack: 106x 3oz = 318oz total. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 106x 3oz = 318oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT12857","Sage 4oz","produce","Each","ea","Weight","lb","Pack: 1x 4oz = 4oz total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 4oz = 4oz total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","IT10503824","Oil Spray 1case","grocery","Each","oz","Each","ea","Pack contains 6 units. Count-based.","Industry standard: Liquid pantry items tracked by volume","✅ Pack analysis: Pack contains 6 units. Count-based. | ⚠️  Industry standard: Industry standard: Liquid pantry items tracked by volume"
"HIGH","FDCHEROSEMA","Rosemary Fresh 1# LB","food","Each","ea","Weight","lb","Pack: 1x 1lb = 1lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 1lb = 1lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDCHEMUSHRO","Mushrooms Crimini 5# CS","food","Each","ea","Weight","lb","Pack: 1x 5lb = 5lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 5lb = 5lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDMRGBERRYS","Berry Strawberry 8 X 16 OZ","food","Each","ea","Weight","lb","Pack: 1x 16oz = 16oz total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 16oz = 16oz total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDCHESHALLO","Shallots Peeled 5# EA","food","Each","ea","Weight","lb","Pack: 1x 5lb = 5lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 5lb = 5lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDCHEBRUSSE","Brussels Sprouts Medium Bulk 25# HV","food","Each","ea","Weight","lb","Pack: 1x 25lb = 25lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 25lb = 25lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDSPEHAPPIN","Hap 3L Pineapple Fresh Juic 3LT","food","Each","ea","Volume","oz","Pack: 1x 3l. Volume accumulates to 3. Volume-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 3l. Volume accumulates to 3. Volume-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","SFGENCHILEA","Chilean Seabass Portions 6 OZ 10# CS Allen Brothers Seafood FRZ 10.00 LB","seafood","Each","lb","Each","ea","Pack: 1x 6oz = 6oz total. Weight-based.","Industry standard: Pre-portioned proteins tracked by count, recipes use count or weight","✅ Industry standard: Industry standard: Pre-portioned proteins tracked by count, recipes use count or weight | ⚠️  Pack analysis: Pack: 1x 6oz = 6oz total. Weight-based."
"HIGH","IT001643001","Seabream, New Zealand 1lb","seafood","Each","lb","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Bulk protein tracked by weight","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Bulk protein tracked by weight"
"HIGH","IT10797130","Shichimi Togarashi 10.5oz","grocery","Each","ea","Weight","lb","Pack: 3x 10.5oz = 31.5oz total. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 3x 10.5oz = 31.5oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT10488","Durum Flour 1lb","grocery","Each","lb","Weight","lb","Multiple units (50) of 1lb. Count-based with weight per unit.","Industry standard: Bulk dry goods tracked by weight","✅ Industry standard: Industry standard: Bulk dry goods tracked by weight | ⚠️  Pack analysis: Multiple units (50) of 1lb. Count-based with weight per unit."
"HIGH","IT3616","Mirin 1L","grocery","Each","ea","Volume","oz","Pack: 18x 1l. Volume accumulates to 608.652. Volume-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 18x 1l. Volume accumulates to 608.652. Volume-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT12393","Oldbay 1lb","grocery","Each","ea","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","FDCHEBASILF","Basil Fresh 1# LB","food","Each","ea","Weight","lb","Pack: 1x 1lb = 1lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 1lb = 1lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDOAK1LBSKE","1LBS Kellers BTR Unsl 1LBS U/c: 36","food","Each","ea","Weight","lb","Pack: 1x 1lb = 1lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 1lb = 1lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","DYGENYOGURT","Yogurt Plain 5% 6/24oz CS","dairy","Each","ea","Weight","lb","Pack: 6x 24oz = 144oz total. Weight-based.","Industry standard: Containerized dairy tracked by unit","✅ Pack analysis: Pack: 6x 24oz = 144oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Containerized dairy tracked by unit"
"HIGH","FDMRGBABYCU","Baby Cucumber Persian 20#","food","Each","ea","Weight","lb","Pack: 1x 20lb = 20lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 20lb = 20lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","CRA01","Snow Crab, Combo 1lb","seafood","Each","lb","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Bulk protein tracked by weight","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Bulk protein tracked by weight"
"HIGH","FDCHEONIONS","Onions Yellow Jumbo 50# HV","food","Each","ea","Weight","lb","Pack: 1x 50lb = 50lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 50lb = 50lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","NAGENHAPLEM","Hap 3L Lemon Fresh Juice 3LT","non_alcoholic_beverage","Each","ea","Volume","oz","Pack: 1x 3l. Volume accumulates to 3. Volume-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 3l. Volume accumulates to 3. Volume-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","ITGENOILBLE","Oil Blend 25% Evoo 75% Canola 6/1 Gal","pantry","Each","oz","Each","ea","Packaged volume items (6 containers). Count-based.","Industry standard: Liquid pantry items tracked by volume","✅ Pack analysis: Packaged volume items (6 containers). Count-based. | ⚠️  Industry standard: Industry standard: Liquid pantry items tracked by volume"
"HIGH","PRGENFILTHY","Filthy Foods Onion 8OZ","produce","Each","lb","Each","ea","Pack contains 1 units. Count-based.","Industry standard: Root vegetables typically tracked by weight","✅ Pack analysis: Pack contains 1 units. Count-based. | ⚠️  Industry standard: Industry standard: Root vegetables typically tracked by weight"
"HIGH","IT001694001","Ainan Tai (Seabream) 1lb","seafood","Each","lb","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Bulk protein tracked by weight","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Bulk protein tracked by weight"
"HIGH","IT10753891","Evoo - Food 1L","grocery","Each","ea","Volume","oz","Pack: 10x 1l. Volume accumulates to 338.14. Volume-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 10x 1l. Volume accumulates to 338.14. Volume-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","RICE03","Niigata Koshihikari Rice 1each","grocery","Each","lb","Weight","lb","Pack contains 1 units. Count-based.","Industry standard: Bulk dry goods tracked by weight","✅ Industry standard: Industry standard: Bulk dry goods tracked by weight | ⚠️  Pack analysis: Pack contains 1 units. Count-based."
"HIGH","IT23510","Popcorn Shoots 1oz","produce","Each","ea","Weight","lb","Pack: 120x 1oz = 120oz total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 120x 1oz = 120oz total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","IT13471","Penne Pasta, Gluten Free 12oz","grocery","Each","ea","Weight","lb","Pack: 6x 12oz = 72oz total. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 6x 12oz = 72oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT231773","Filthy Blue Cheese Olives 64oz","bar_consumables","Each","ea","Weight","lb","Pack: 6x 64oz = 384oz total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 6x 64oz = 384oz total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","MTF3723","Resses Peanut Butter Cups 1.5oz","grocery","Each","ea","Weight","lb","Pack: 36x 1.5oz = 54oz total. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 36x 1.5oz = 54oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","A910558","Soy Sauce, Sweet 1fl.oz","grocery","Each","oz","Weight","lb","Pack: 21x 1oz = 21oz total. Weight-based.","Industry standard: Liquid pantry items tracked by volume","✅ Pack analysis: Pack: 21x 1oz = 21oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Liquid pantry items tracked by volume"
"HIGH","FDCHETHYMEF","Thyme Fresh 1# LB","food","Each","ea","Weight","lb","Pack: 1x 1lb = 1lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 1lb = 1lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDALLWAGYUH","Wagyu HOT Dogs 32/1 10# CS FRZ 10.00 LB","food","Each","ea","Weight","lb","Pack: 1x 10lb = 10lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 10lb = 10lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDCHEGRITSW","Grits White | Gristmill 10# CS","food","Each","ea","Weight","lb","Pack: 1x 10lb = 10lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 10lb = 10lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","NAGENHAPLIM","Hap 3L Lime Fresh Juice 3LT","non_alcoholic_beverage","Each","ea","Volume","oz","Pack: 1x 3l. Volume accumulates to 3. Volume-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 3l. Volume accumulates to 3. Volume-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDSPEESTREL","Estrella Jalisco Mexic 12OZ","food","Each","ea","Weight","lb","Pack: 1x 12oz = 12oz total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 12oz = 12oz total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","NAGENGINGER01","Ginger Juice Cold Pressed 3L","non_alcoholic_beverage","Each","ea","Volume","oz","Pack: 1x 3l. Volume accumulates to 101.442. Volume-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 3l. Volume accumulates to 101.442. Volume-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","PRGENONIONS","Onion Sweet 40 #","produce","Each","lb","Weight","lb","Pack: 1x 40lb = 40lb total. Weight-based.","Industry standard: Root vegetables typically tracked by weight","✅ Pack analysis: Pack: 1x 40lb = 40lb total. Weight-based. | ⚠️  Industry standard: Industry standard: Root vegetables typically tracked by weight"
"HIGH","IT001709901","Shortrib, Boneless 1lb","meat","Each","lb","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Bulk protein tracked by weight","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Bulk protein tracked by weight"
"HIGH","IT080012501","Swordfish 1lb","seafood","Each","lb","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Bulk protein tracked by weight","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Bulk protein tracked by weight"
"HIGH","IT10625477","Tomato Paste 108oz","grocery","Each","ea","Weight","lb","Pack: 6x 108oz = 648oz total. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 6x 108oz = 648oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT06042","Ground Cinnamon 1lb","grocery","Each","ea","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT72296","Mozzarella Skim 1lb","dairy","Each","ea","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Containerized dairy tracked by unit","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Containerized dairy tracked by unit"
"HIGH","ISHI03","Parrotfish, Spotted 1lb","seafood","Each","lb","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Bulk protein tracked by weight","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Bulk protein tracked by weight"
"HIGH","TOB04","Tobiko Red 1lb","seafood","Each","lb","Weight","lb","Single unit of 1lb. Weight-based.","Industry standard: Bulk protein tracked by weight","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Industry standard: Bulk protein tracked by weight"
"HIGH","ITGENGIFFAR","Giffard Creme De Violette 750ML","liqueur","Each","unit","Each","ea","Pack: 1x 750ml. Volume accumulates to 750. Volume-based.","Industry standard: Beverages tracked by bottle/can, recipes use oz (conversion via bottle size)","✅ Industry standard: Industry standard: Beverages tracked by bottle/can, recipes use oz (conversion via bottle size) | ⚠️  Pack analysis: Pack: 1x 750ml. Volume accumulates to 750. Volume-based."
"HIGH","GB504N","Banyuls Vinegar 500ml","grocery","Each","oz","Volume","oz","Pack: 1x 500ml. Volume accumulates to 16.907. Volume-based.","Industry standard: Liquid pantry items tracked by volume","✅ Pack analysis: Pack: 1x 500ml. Volume accumulates to 16.907. Volume-based. | ⚠️  Industry standard: Industry standard: Liquid pantry items tracked by volume"
"HIGH","PIZZADOUGH14OZ","Pizza Dough 14oz","food","Each","ea","Weight","lb","Pack: 1x 14oz = 14oz total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 14oz = 14oz total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","FDMRGCABBAG","Cabbage Shredded Green 4/5#","food","Each","ea","Weight","lb","Pack: 4x 5lb = 20lb total. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 4x 5lb = 20lb total. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","IT18771","Tajin 5oz","grocery","Each","ea","Weight","lb","Pack: 24x 5oz = 120oz total. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 24x 5oz = 120oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT06026","Oregano 12oz","grocery","Each","ea","Weight","lb","Pack: 1x 12oz = 12oz total. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Pack: 1x 12oz = 12oz total. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT99204","Thai Chilies 1lb","produce","Each","ea","Weight","lb","Single unit of 1lb. Weight-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Single unit of 1lb. Weight-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
"HIGH","IT25083","Paprika Smoked 750g","grocery","Each","ea","Weight","lb","Single unit of 750g. Weight-based.","Industry standard: Packaged goods tracked by container","✅ Pack analysis: Single unit of 750g. Weight-based. | ⚠️  Industry standard: Industry standard: Packaged goods tracked by container"
"HIGH","IT10229191","Raspberry Sorbet 1L","dairy","Each","ea","Volume","oz","Pack: 5x 1l. Volume accumulates to 169.07. Volume-based.","Industry standard: Containerized dairy tracked by unit","✅ Pack analysis: Pack: 5x 1l. Volume accumulates to 169.07. Volume-based. | ⚠️  Industry standard: Industry standard: Containerized dairy tracked by unit"
"HIGH","MTALLALLENB01","Allen Brothers Ground Beef CBS Patty 4 Oz 4/3#","meat","Each","lb","Each","ea","Pack: 4x 3lb = 12lb total. Weight-based.","Industry standard: Pre-portioned proteins tracked by count, recipes use count or weight","✅ Industry standard: Industry standard: Pre-portioned proteins tracked by count, recipes use count or weight | ⚠️  Pack analysis: Pack: 4x 3lb = 12lb total. Weight-based."
"HIGH","TOMATOSAUCEQT","Tomato Sauce (qt)","food","Each","ea","Volume","oz","Pack: 1x 750ml. Volume accumulates to 750. Volume-based.","Default: Most food items tracked by unit with weight conversion","✅ Pack analysis: Pack: 1x 750ml. Volume accumulates to 750. Volume-based. | ⚠️  Industry standard: Default: Most food items tracked by unit with weight conversion"
